median,probval,confidenceInterval,f_256,percentile,numeric_range,var_vc,cas_registry_number,trend_growth_rate,word_embedding,image_embedding,f_138,var_qul,gloss,col_mean,genus,attr_718
91.402,0.0064,"[4.7, 99.55]",0.8591,19.59,43-84,15.2357,16054-68-1,6.62%,"[1.4081, 1.411, -1.6482, 2.9479, -1.256, 0.505, -0.294, -0.0276]","[-0.2323, 0.63, -0.5633, 0.164, 0.2387, 0.2557, 0.5696, 0.0454]",8925.1671,83.05,A operational definition of data quality.,92.4414,H2O,"[0.0377, 0.2034, 0.9913, 0.939, 0.7187, 0.7771, 0.3735, 0.6367]"
83.9252,0.8951,"[26.58, 98.31]",-0.1323,21.48,47-69,6.0167,27393-96-1,21.26%,"[1.2965, -0.4895, 0.1562, -0.6228, -0.1559, -1.3173, -0.013, -1.7381]","[-0.9108, -0.196, 0.4507, 0.119, 0.4554, -0.268, 0.7072, 0.624]",6241.8206,21.01,A operational definition of data quality.,-34.7041,C6H12O6,"[0.5262, 0.0615, 0.0631, 0.5788, 0.853, 0.6064, 0.9251, 0.4919]"
-58.9581,0.5342,"[7.42, 61.9]",-0.4457,1.07,23-82,10.5512,96822-62-6,-30.15%,"[-0.3617, 0.4461, -0.8329, 1.0514, 1.177, 1.5742, 0.0634, 0.2125]","[0.2207, -1.206, -0.2754, 0.6852, -0.37, -0.0867, -0.3227, 0.5343]",1323.6198,95.6,A formal definition of compliance.,-42.245,H2O,"[0.7602, 0.6605, 0.7546, 0.6243, 0.1876, 0.0084, 0.8857, 0.4623]"
75.2164,0.7348,"[23.83, 80.21]",-0.3035,92.62,22-65,39.8111,92404-97-2,39.66%,"[-0.1899, -0.5165, 1.0156, -1.9036, -1.0345, 1.0884, -0.3559, -0.0264]","[-0.1154, -0.5423, -0.5488, -0.5394, -0.4682, 0.4698, -0.4544, -0.3424]",2808.29,75.85,A operational definition of data quality.,-15.8086,NaCl,"[0.086, 0.1698, 0.6968, 0.5484, 0.6851, 0.9046, 0.9317, 0.9505]"
-26.5231,0.3272,"[23.92, 94.03]",-0.3073,27.68,10-64,41.3093,68849-56-2,-39.01%,"[-0.4363, 0.2743, 0.3552, -0.2015, 0.9445, -0.1654, -0.9225, -0.6247]","[-0.719, -0.3294, 0.4416, 1.016, -0.0001, -0.8817, 0.2227, 0.1712]",775.9685,69.11,A systematic definition of data quality.,22.9481,C6H12O6,"[0.6029, 0.2124, 0.3175, 0.6152, 0.4124, 0.7168, 0.3573, 0.7552]"
93.7491,0.226,"[16.16, 64.9]",-0.0142,57.59,39-75,40.3986,34237-18-7,43.72%,"[0.0171, -1.4627, -0.0993, -0.9043, 1.1283, -0.2211, 1.3092, -0.3004]","[-0.2675, -0.1511, 0.251, 0.0813, 0.5568, -0.4688, -0.41, 0.4032]",943.7454,41.21,A operational definition of data quality.,3.686,Homo sapiens,"[0.5629, 0.9859, 0.1506, 0.9026, 0.4355, 0.6997, 0.1097, 0.9406]"
-56.5503,0.1361,"[8.2, 84.17]",-0.8076,87.23,1-61,31.6495,63278-19-5,-41.17%,"[1.5419, -1.5513, 0.8086, 1.0531, 0.9685, 0.6363, -1.2149, -1.2539]","[0.0135, 0.4846, 0.3701, 0.7708, 0.3313, 0.5274, -0.1119, 0.0813]",117.427,11.08,A systematic definition of data quality.,-39.9666,Homo sapiens,"[0.4042, 0.2845, 0.2711, 0.6464, 0.6185, 0.4085, 0.5206, 0.1571]"
9.0557,0.2409,"[7.87, 63.26]",0.9522,26.05,34-96,15.0729,66203-70-4,-38.72%,"[0.1009, 0.1271, 0.7605, 2.8566, -2.636, 0.5958, -1.169, -2.3997]","[-0.8803, -0.1271, 1.2076, 0.7167, -0.57, 0.1051, -0.8135, -0.074]",7623.9511,62.46,A formal definition of compliance.,2.765,E. coli,"[0.9063, 0.2809, 0.6119, 0.3532, 0.8767, 0.4636, 0.3546, 0.2463]"
63.4025,0.4243,"[27.36, 92.12]",0.3697,31.4,0-72,49.3761,98892-32-3,-29.84%,"[1.6288, -0.1104, -0.444, 0.9438, 0.0414, -0.5097, 0.1982, 1.3951]","[0.4611, -0.2377, 0.3543, -0.0489, -0.1408, -0.693, -0.911, -0.6135]",2767.8424,23.87,A systematic definition of compliance.,78.988,C6H12O6,"[0.0366, 0.746, 0.8611, 0.4649, 0.3564, 0.3192, 0.8607, 0.7934]"
40.6829,0.7664,"[29.31, 67.27]",0.7359,91.28,2-51,25.2832,66508-18-3,23.77%,"[-1.6345, -1.3886, 0.4005, 0.2683, 0.939, 0.8062, -0.8887, -2.4094]","[0.1739, -0.6597, -0.0365, -0.174, -0.3552, -0.4709, -0.4045, 0.0203]",3036.4986,61.01,A operational definition of risk.,-29.0705,C6H12O6,"[0.5488, 0.9765, 0.7467, 0.841, 0.5835, 0.8854, 0.672, 0.5476]"
4.8419,0.1808,"[30.44, 72.7]",-0.3352,79.17,12-91,4.7236,31082-15-7,44.73%,"[0.3368, -0.5931, -1.1051, -0.7407, -1.0066, 2.0197, 0.2144, -0.3227]","[0.5451, -0.5802, 0.5934, 1.1966, 0.2618, -0.5219, -0.6443, -0.802]",2409.8094,14.29,A operational definition of data quality.,-70.9364,NaCl,"[0.8589, 0.8401, 0.6962, 0.8591, 0.0165, 0.447, 0.8323, 0.0391]"
95.6081,0.6264,"[16.76, 68.87]",-0.8027,74.05,40-100,23.6331,91919-90-7,46.16%,"[-0.5104, -0.6467, 0.1748, 0.5906, 1.1387, -1.3928, 0.5612, 1.3694]","[-0.4301, 0.0011, 0.2209, -0.1785, -0.171, -0.132, -0.1394, -0.4081]",7396.9019,56.1,A systematic definition of risk.,12.894,NaCl,"[0.0371, 0.9603, 0.8778, 0.1383, 0.9024, 0.2113, 0.4303, 0.7118]"
44.0755,0.1175,"[14.87, 66.94]",0.1247,18.11,37-78,12.2797,21270-56-6,9.99%,"[1.1197, 0.7631, 1.8398, 0.9907, -0.5584, 0.6144, 0.5903, 0.3731]","[-0.4779, -0.0438, 0.6591, 0.2973, 0.2007, 0.0394, 0.4012, -0.2034]",5920.2145,73.0,A operational definition of compliance.,-78.4666,NaCl,"[0.8052, 0.7897, 0.2992, 0.7929, 0.7214, 0.1373, 0.5756, 0.2715]"
87.8263,0.7366,"[4.94, 95.76]",0.7251,82.46,24-63,28.1281,57870-34-8,-4.0%,"[-1.3803, 0.5924, 1.3483, 1.282, -1.7606, -0.7517, 0.5818, -2.9133]","[-0.1953, 0.6787, -0.3712, -0.1946, 0.2691, 0.0728, 0.6511, 0.76]",6539.6346,61.34,A formal definition of risk.,-94.0635,C6H12O6,"[0.5565, 0.6738, 0.198, 0.5537, 0.4444, 0.3495, 0.6166, 0.9929]"
-29.2046,0.1806,"[18.73, 77.62]",0.9421,66.61,35-99,49.0817,22071-19-8,24.4%,"[-0.6456, 0.1971, -0.1538, -0.5455, -0.4288, 0.9732, -1.081, -0.1818]","[0.1157, -0.1342, -0.3563, 0.8289, 0.0773, -0.4631, 0.1768, -0.0425]",-237.4685,94.69,A operational definition of data quality.,-70.8326,E. coli,"[0.2188, 0.8015, 0.8954, 0.3391, 0.1875, 0.3062, 0.0997, 0.1344]"
23.3258,0.5221,"[23.94, 80.89]",-0.5604,83.6,8-60,12.8018,67007-28-3,49.14%,"[-0.0789, 1.8063, -0.2467, -0.2377, -0.574, 0.2316, 0.9917, 1.2795]","[0.8545, 0.1671, 0.0174, 0.0756, 1.4651, 0.0347, 0.3525, -0.056]",620.2664,85.31,A operational definition of risk.,-46.1787,NaCl,"[0.2781, 0.9096, 0.1015, 0.6622, 0.448, 0.2814, 0.544, 0.448]"
-28.4657,0.255,"[36.56, 60.48]",-0.2849,74.15,21-99,7.6717,75320-93-4,-19.37%,"[0.3104, 2.4323, -0.359, -1.1553, 0.3509, 0.5666, 0.9112, -1.5237]","[0.1363, 0.1654, 0.201, 0.7125, -1.0008, -0.1136, 0.0555, -0.3442]",672.853,4.87,A operational definition of risk.,42.4704,H2O,"[0.1718, 0.6388, 0.3511, 0.3866, 0.5862, 0.0425, 0.5213, 0.1269]"
-82.2939,0.0639,"[26.23, 91.03]",0.9396,48.63,3-70,2.718,22017-72-4,38.98%,"[0.4967, 1.4341, 1.8726, -0.3104, -0.4536, -1.1112, 1.0201, 1.6946]","[1.4891, -0.4136, 0.7558, -0.7118, 0.1071, 0.7173, 1.0851, 0.5931]",7777.8616,46.24,A systematic definition of risk.,89.6575,E. coli,"[0.5558, 0.5356, 0.4508, 0.1285, 0.9726, 0.0039, 0.2042, 0.1887]"
-24.6647,0.7798,"[16.92, 73.79]",0.1287,59.27,1-75,21.9145,1926-27-3,24.94%,"[1.2425, -1.1747, 1.1755, 0.3409, 0.7442, 0.077, 0.3086, 0.3515]","[1.2303, -0.0521, 0.4541, 0.4726, -0.9874, 1.2339, 0.1915, 0.1465]",5313.4596,72.37,A formal definition of data quality.,-45.7083,Homo sapiens,"[0.1934, 0.2284, 0.0848, 0.1091, 0.5997, 0.7005, 0.7047, 0.759]"
91.8824,0.8936,"[39.85, 67.24]",0.6956,99.45,50-97,3.5737,27086-94-8,-40.42%,"[0.3805, -0.6968, -1.7123, 0.5241, -1.3913, 1.3098, -0.3836, 0.0866]","[0.6829, -0.7182, -0.1577, -0.3377, 0.2639, 0.7868, 0.6372, 1.0281]",3983.4891,39.79,A systematic definition of risk.,69.9925,E. coli,"[0.0864, 0.6038, 0.4299, 0.8781, 0.5538, 0.5628, 0.6956, 0.9017]"
98.875,0.0693,"[21.75, 66.03]",-0.9466,9.18,0-66,40.0748,56184-65-7,29.47%,"[0.2734, -0.0903, -2.2432, -0.6106, 0.1474, 1.1503, -1.4287, -0.9755]","[-0.723, 0.2333, -0.4428, -0.5328, -0.0074, -0.191, -0.346, 0.4978]",5779.6071,18.99,A formal definition of risk.,-43.0453,C6H12O6,"[0.3364, 0.4044, 0.3396, 0.8855, 0.7003, 0.6549, 0.3653, 0.2952]"
-37.984,0.2224,"[32.02, 87.9]",-0.6901,91.46,16-99,5.1409,33255-28-9,-28.43%,"[1.3684, -0.1725, 0.4296, -0.2149, -0.9398, -0.4592, 0.3753, -1.9461]","[-0.7919, -0.0084, 0.0951, 0.2254, 0.2378, -0.282, -0.3477, 0.3986]",4506.1609,45.21,A systematic definition of compliance.,-24.5697,C6H12O6,"[0.8783, 0.6596, 0.1996, 0.2815, 0.5124, 0.0812, 0.1732, 0.958]"
17.9042,0.3644,"[11.56, 98.06]",-0.8787,98.61,1-65,45.3799,1871-22-2,-40.47%,"[0.1615, -0.5137, -0.1032, 2.307, -0.5624, 0.3904, 1.2142, 0.4726]","[0.0906, 0.6451, -0.5806, -0.3229, -0.2003, -0.2083, -0.4256, 0.0269]",9020.0109,22.74,A operational definition of compliance.,55.4023,E. coli,"[0.1515, 0.2081, 0.6077, 0.6739, 0.8492, 0.0422, 0.6986, 0.7947]"
6.3294,0.8158,"[39.14, 90.0]",-0.8171,38.51,36-65,18.3031,31052-10-3,10.84%,"[-0.4511, 1.2179, -0.1533, -1.5451, 1.831, 0.8243, 0.1213, 0.2967]","[0.1226, -0.4128, 0.3155, 0.5716, -0.62, 1.0529, -0.7825, -0.2725]",8065.1357,22.46,A formal definition of risk.,-32.1488,Fe2O3,"[0.5744, 0.7026, 0.294, 0.6999, 0.2939, 0.8782, 0.9291, 0.3599]"
-15.7304,0.5912,"[0.28, 96.08]",-0.2025,35.11,20-66,6.2275,44832-71-4,-25.42%,"[-1.1208, 0.225, -1.2411, 0.6927, 0.3799, 0.5572, 0.7499, 1.0915]","[-0.3992, -0.2812, -0.0645, 0.3652, 0.4876, 0.1942, 0.0798, -0.2776]",9576.5267,45.49,A systematic definition of risk.,52.4318,H2O,"[0.574, 0.7627, 0.0257, 0.9369, 0.282, 0.1891, 0.4621, 0.1316]"
99.6119,0.6496,"[18.05, 83.52]",0.2269,93.87,35-61,24.2146,79671-79-1,43.36%,"[-0.1872, -0.4492, -0.4877, 0.2749, -0.9297, -1.3619, -3.2324, 0.2909]","[0.4349, -0.0209, 0.4984, 0.2449, 0.2166, -0.539, 1.2059, -0.1635]",457.9871,11.76,A operational definition of data quality.,-82.2563,NaCl,"[0.6508, 0.5466, 0.5592, 0.0767, 0.5712, 0.8775, 0.8184, 0.2599]"
-1.6134,0.9789,"[13.64, 68.67]",-0.8422,14.77,50-80,30.6678,5649-65-6,35.7%,"[-1.1972, -1.0686, -0.5378, 0.7301, -0.1678, 0.7352, 1.1327, -0.5642]","[0.3168, 0.43, -0.115, 0.4347, 0.317, -1.1566, 0.2035, -0.6078]",9526.7506,16.28,A operational definition of risk.,-18.0816,Fe2O3,"[0.2879, 0.3665, 0.2727, 0.8549, 0.8626, 0.8075, 0.4866, 0.3433]"
55.8909,0.368,"[8.67, 82.89]",0.8131,15.17,22-79,0.797,47370-91-6,-19.35%,"[1.2667, -0.9161, -0.6219, 0.8029, 1.2968, 2.9604, -0.88, -0.0368]","[-0.253, -0.3324, -0.0858, -0.8577, -0.1249, 0.3861, 0.0641, 0.4223]",7379.2641,86.03,A operational definition of compliance.,38.6469,C6H12O6,"[0.8917, 0.7433, 0.9311, 0.9832, 0.4297, 0.548, 0.2032, 0.7577]"
34.2375,0.7223,"[10.82, 83.27]",-0.142,48.54,47-74,21.8757,52055-99-2,39.18%,"[0.8481, -0.0293, 1.653, 0.3095, -0.1856, -0.8867, 1.5187, -0.111]","[0.2838, -0.8179, -0.6955, 0.3778, 0.1218, -0.5486, -0.6393, 0.041]",5040.0851,57.44,A systematic definition of data quality.,66.3373,H2O,"[0.7997, 0.3822, 0.1041, 0.4568, 0.0607, 0.6372, 0.1664, 0.6906]"
74.0196,0.6177,"[24.17, 66.44]",-0.9562,9.1,49-68,15.8152,10233-65-2,-21.77%,"[-0.695, 2.2788, 1.7885, 0.0012, -0.5328, -0.4834, 0.3663, 0.3799]","[-0.41, 0.1098, 0.1388, -0.3284, -0.631, 0.8448, -0.66, 0.378]",7984.2668,31.88,A operational definition of compliance.,12.2967,E. coli,"[0.9287, 0.029, 0.4653, 0.6025, 0.6817, 0.2852, 0.2005, 0.9022]"
85.8126,0.3415,"[10.13, 66.89]",-0.2178,94.35,42-85,5.7443,58689-57-9,-3.81%,"[0.4991, 0.0116, -0.2421, -0.3668, -1.0658, -0.5213, 1.1608, -1.8555]","[0.6639, -0.1311, 0.5488, -0.3652, -0.294, -0.3644, 0.605, -0.0359]",4687.4621,52.28,A systematic definition of risk.,1.3147,Fe2O3,"[0.0689, 0.1849, 0.7463, 0.7549, 0.6599, 0.1866, 0.4672, 0.3271]"
50.0422,0.9056,"[25.76, 71.06]",-0.1404,56.63,2-100,49.8436,45921-66-3,37.05%,"[0.159, 1.2323, 0.8232, 0.5116, -0.7215, -0.3082, 0.6749, 0.7331]","[-0.2461, 0.0386, -0.1205, -0.0916, 0.1116, 0.303, 0.3636, -0.3253]",638.246,78.17,A formal definition of data quality.,46.4488,Homo sapiens,"[0.5472, 0.9476, 0.8273, 0.4599, 0.4978, 0.5827, 0.4913, 0.9068]"
-31.3959,0.9341,"[23.74, 89.31]",-0.0726,64.07,34-75,11.5041,81275-28-7,-4.29%,"[-1.4203, 1.0575, -0.4917, -0.582, -0.0896, -0.5069, 0.7151, 1.2206]","[-0.6076, -0.5125, 0.3203, -0.5374, -0.021, -0.4941, 0.0251, -0.048]",1761.9123,39.89,A operational definition of data quality.,12.709,H2O,"[0.0194, 0.1165, 0.5164, 0.2272, 0.4238, 0.1256, 0.0723, 0.835]"
74.7384,0.2569,"[27.5, 64.89]",0.666,24.26,19-76,34.1112,10401-11-8,33.69%,"[-0.546, 1.1717, -0.8556, 0.6686, 0.2132, -1.016, 0.1036, 1.2466]","[0.351, 0.2082, -0.338, 0.7143, 0.6415, -0.9261, 0.9522, -0.3323]",5063.1017,69.05,A operational definition of data quality.,-46.1642,E. coli,"[0.4724, 0.3341, 0.3977, 0.3945, 0.0658, 0.6435, 0.2863, 0.8699]"
31.562,0.861,"[13.11, 83.49]",-0.2989,22.18,0-90,23.6853,54030-56-2,-22.13%,"[0.1413, 1.2403, 0.3415, -0.2489, 0.7314, -0.6256, 0.8516, -0.1272]","[0.044, 0.4196, 0.9623, -0.0213, -0.0846, -0.4375, -0.2443, -0.1512]",2036.1969,10.28,A operational definition of data quality.,-32.0784,C6H12O6,"[0.9563, 0.9093, 0.7991, 0.4202, 0.897, 0.2862, 0.8811, 0.0129]"
1.5258,0.7081,"[36.3, 65.48]",0.6563,54.39,10-70,25.7059,38455-91-3,-35.78%,"[-0.512, 0.3148, -0.685, -0.9725, 0.6835, 1.1603, -0.4352, 0.7801]","[0.6959, 0.4817, -0.2516, -0.9153, -0.5726, 0.564, 0.2958, -0.2678]",8106.717,1.38,A operational definition of compliance.,-21.9138,C6H12O6,"[0.2847, 0.6974, 0.8305, 0.573, 0.0704, 0.9717, 0.0351, 0.6638]"
-78.4155,0.7545,"[34.05, 87.46]",0.4859,14.64,33-62,43.5327,6199-54-5,23.89%,"[-0.3917, 1.9996, -0.3838, -1.4099, -0.9455, -1.333, -1.2701, -0.7192]","[0.7119, -0.2415, 0.8251, 0.0499, -0.623, -0.5431, 0.0501, -0.1297]",2289.2008,14.12,A systematic definition of compliance.,70.5761,NaCl,"[0.4127, 0.6563, 0.1004, 0.6709, 0.5629, 0.4806, 0.3488, 0.1662]"
73.5193,0.4844,"[2.44, 81.35]",-0.5784,62.17,37-69,13.6087,16786-95-5,-40.15%,"[1.6964, 1.8386, 0.1267, -0.1581, 1.4012, -0.1126, -1.3253, 1.567]","[0.6486, 0.0221, -0.2325, 0.0314, -0.0141, 0.0413, -0.4327, -0.4515]",3896.8249,40.05,A formal definition of risk.,-75.9581,Homo sapiens,"[0.8448, 0.9512, 0.8002, 0.8096, 0.1546, 0.9984, 0.8202, 0.2023]"
85.4944,0.0261,"[38.34, 78.79]",0.6876,18.13,0-89,46.6089,64392-64-0,-33.55%,"[1.7045, -0.7919, 1.5248, 0.0888, 0.1589, 1.8282, -0.4652, 0.9391]","[0.5496, -0.0752, 0.4345, -0.2132, 0.3611, 0.5578, 0.9047, 0.1902]",499.0589,59.76,A systematic definition of risk.,20.0204,H2O,"[0.4807, 0.0417, 0.1941, 0.9889, 0.5429, 0.5536, 0.1328, 0.3541]"
9.533,0.6789,"[1.31, 91.95]",-0.8302,46.9,19-79,20.0542,5558-11-3,36.08%,"[-0.9011, -0.3603, -0.4647, 0.4599, -1.6707, 1.0654, -0.0145, 0.6578]","[1.2241, -0.4458, 0.642, -0.9724, -0.3374, 0.4889, 0.1666, -0.5048]",4566.2435,48.12,A systematic definition of risk.,-3.469,H2O,"[0.1393, 0.9818, 0.4331, 0.9816, 0.622, 0.5824, 0.5846, 0.5652]"
5.4213,0.4201,"[34.2, 73.48]",0.322,3.12,30-59,25.5157,30303-59-0,2.25%,"[2.498, -0.0529, 0.2528, 0.6404, 2.7525, 1.556, 0.7531, -1.6254]","[0.5184, -0.0438, 0.618, -0.381, 0.7345, -0.2734, 0.2048, -1.0546]",516.6942,49.51,A operational definition of data quality.,52.8335,E. coli,"[0.5389, 0.1863, 0.7698, 0.7891, 0.0792, 0.675, 0.584, 0.4588]"
